,mol_index,v_zi,v_zf
3676,538218.0,149.84708475962208,149.80724219158432
3677,538286.0,88.96369184139594,99.65370081972996
3678,538384.0,114.49041479755718,114.60598659320138
3679,538391.0,50.48104406351816,50.48975455227783
3680,538484.0,130.09876499922512,126.26782347700889
3681,538567.0,126.02491839862154,129.85307542891138
3682,538629.0,125.99188094671196,125.9837042514824
3683,538714.0,81.44809231656899,93.0533566064982
3684,539243.0,89.6055911179564,77.51493839827143
3685,539464.0,144.09776208017428,141.21037858894294
3686,539501.0,120.01382679341748,124.28359849919062
3687,539627.0,148.91699544363,152.13349364490202
3688,539859.0,142.03787164308082,141.5651584255285
3689,539975.0,105.54748166783816,110.3661170848565
3690,540022.0,170.12410515418622,170.12736789750065
3691,540372.0,108.74953624180935,104.1522365474648
3692,540486.0,105.13937400085929,109.88830839205689
3693,540542.0,144.38980641970772,145.08274015510756
3694,541186.0,81.8302426670642,68.47097113916232
3695,541375.0,114.91827490514893,110.22784260962504
3696,541834.0,135.44132418075526,131.5423918476946
3697,541905.0,156.4531815372295,159.75882895917417
3698,541960.0,147.8405869669474,151.31043790653285
3699,542026.0,104.32463537502181,104.65811967327879
3700,542570.0,143.09959461233936,146.45280228179033
3701,542607.0,166.04414462363852,168.96366237747537
3702,542635.0,123.99082651008429,116.04909310806761
3703,543256.0,125.28847939527054,121.35757888647106
3704,543344.0,81.14904016968232,67.55405054011423
3705,543399.0,151.12911201036601,154.36076010450702
3706,543450.0,134.8730057902337,131.10101638180694
3707,543638.0,152.1880288955216,158.6402817340617
3708,543697.0,123.59541427390282,119.59206467023421
3709,544055.0,108.80083750359032,113.49802853153675
3710,544074.0,111.38881151506766,106.61402501363378
3711,544231.0,150.24971396214124,150.29129131852267
3712,544272.0,116.33059597465933,116.33314120762697
3713,544351.0,146.33009597518497,146.24013617987396
3714,544448.0,88.9623601230659,88.10034417800922
3715,544948.0,137.48332869195343,133.98488835777587
3716,545321.0,133.8903594915877,130.1856296866441
3717,545395.0,145.66599292200482,142.38915438492492
3718,545547.0,82.7855074781057,71.07558715266478
3719,545633.0,168.5308927256915,165.40006656906417
3720,545673.0,98.9646722259663,103.80834949776782
3721,545714.0,153.53648607101925,150.28093811638368
3722,545768.0,147.60388032692796,147.8801114157709
3723,545879.0,80.57280079774999,73.87106864824403
3724,545970.0,111.35769215549874,106.58566279096618
3725,546051.0,117.76183366579993,113.6682981913197
3726,546085.0,133.31345953361267,133.570476129098
3727,546100.0,112.383813339663,102.99635973696162
3728,546233.0,88.24160830158633,82.26954353871449
3729,546411.0,135.8210821418822,139.60902253976803
3730,546443.0,123.3603750733284,119.33852679646198
3731,546528.0,101.59950967634735,96.93679581104898
3732,546999.0,166.73100785415718,163.78943875824635
3733,547049.0,141.26666937681568,137.79522925848917
3734,547091.0,107.04694591073907,102.39885214077135
3735,547648.0,74.40382995400033,67.06346740764376
3736,547766.0,89.12738628630643,93.37054059056256
3737,547882.0,108.65542062092034,113.31956029734367
3738,548026.0,94.79642257065696,104.9294312714541
3739,548058.0,113.56648019916199,104.2720253348366
3740,548103.0,155.29632029902888,154.91910413713177
3741,548200.0,91.3799376146159,96.56896854176132
